Positions,Noise-free data,Noisy Data,Unbiased_loss_predition
"(0.35533, 2.0775)",-1.0,-1.0,-1
"(-0.50373, 1.026)",-1.0,1.0,1
"(0.14648, -0.15139)",1.0,-1.0,1
"(-0.72422, -1.4823)",-1.0,-1.0,1
"(-1.3304, -0.39203)",1.0,1.0,1
"(0.89616, 0.363)",1.0,-1.0,-1
"(-0.51616, 0.83083)",1.0,-1.0,1
"(-0.96791, -0.22642)",1.0,1.0,1
"(-0.87163, -0.46069)",1.0,-1.0,1
"(-0.97363, 1.0495)",-1.0,-1.0,1
"(-0.95126, 1.3902)",-1.0,-1.0,1
"(0.39012, -1.2029)",-1.0,1.0,1
"(-0.02466, -1.4955)",-1.0,1.0,1
"(-1.8076, -0.54318)",1.0,-1.0,1
"(-0.56582, -1.6208)",-1.0,-1.0,1
"(-0.702, -0.81141)",-1.0,1.0,1
"(1.6577, 1.2979)",1.0,1.0,1
"(0.48643, 0.24477)",1.0,-1.0,-1
"(-1.0334, -1.0923)",-1.0,-1.0,1
"(-1.4933, 0.7963)",-1.0,-1.0,-1
"(0.90331, -0.3388)",1.0,1.0,1
"(-1.2606, 0.22977)",1.0,1.0,-1
"(-0.23444, -0.9738)",-1.0,1.0,1
"(1.5277, 0.22801)",-1.0,-1.0,-1
"(0.8935, -0.32698)",1.0,1.0,1
"(1.326, 0.33509)",-1.0,-1.0,-1
"(-0.63882, -1.3747)",-1.0,-1.0,1
"(1.3513, 0.65747)",-1.0,-1.0,-1
"(-1.313, 0.91641)",-1.0,-1.0,-1
"(0.67539, 0.88604)",-1.0,-1.0,-1
"(-0.56035, -1.1212)",-1.0,-1.0,1
"(-0.41476, 0.46284)",1.0,-1.0,1
"(-1.5512, 0.69468)",-1.0,-1.0,-1
"(0.38591, -0.99705)",-1.0,1.0,1
"(-0.82793, -0.83936)",-1.0,1.0,1
"(-0.047632, -1.2362)",-1.0,1.0,1
"(1.3074, -0.25392)",-1.0,-1.0,-1
"(-1.5272, -1.0102)",1.0,-1.0,1
"(-0.3369, 1.6599)",-1.0,1.0,-1
"(-0.64396, -0.77968)",-1.0,1.0,1
"(0.48876, 0.90408)",-1.0,-1.0,-1
"(1.308, 0.16975)",-1.0,-1.0,-1
"(1.63, -0.53914)",-1.0,-1.0,-1
"(0.28403, 2.3061)",-1.0,1.0,-1
"(-1.0836, 1.1873)",-1.0,1.0,1
"(-1.9744, -1.7151)",1.0,1.0,-1
"(1.1832, -0.78887)",-1.0,-1.0,1
"(0.58205, 0.23212)",-1.0,-1.0,-1
"(1.4343, 0.147)",-1.0,-1.0,-1
"(-1.1033, -1.1288)",-1.0,-1.0,1
"(-0.17898, 0.1897)",1.0,1.0,1
"(0.38698, -0.0006532)",1.0,1.0,1
"(-1.0517, -0.83239)",1.0,1.0,1
"(2.2879, 1.216)",1.0,1.0,1
"(-0.38837, -1.0848)",-1.0,1.0,1
"(1.872, -0.23862)",-1.0,-1.0,-1
"(-1.3314, -0.27612)",1.0,1.0,1
"(-0.40228, -1.113)",-1.0,1.0,1
"(-0.0032944, -0.077682)",1.0,-1.0,1
"(1.1792, 0.76611)",-1.0,-1.0,-1
"(0.16906, 1.8634)",1.0,1.0,-1
"(0.86339, 0.76479)",-1.0,-1.0,-1
"(-0.054548, -1.4521)",-1.0,-1.0,1
"(-0.26488, 1.284)",-1.0,1.0,-1
"(-0.23914, -0.61879)",-1.0,1.0,1
"(-1.2634, -0.11947)",1.0,1.0,-1
"(-0.37916, 0.63822)",1.0,1.0,1
"(-0.22227, 0.25915)",1.0,1.0,1
"(0.98345, 0.61063)",-1.0,-1.0,-1
"(-0.64254, 1.6846)",-1.0,-1.0,1
"(2.3995, 1.1966)",1.0,1.0,1
"(0.17626, 1.9386)",-1.0,1.0,-1
"(1.0681, 1.5325)",-1.0,-1.0,1
"(-1.1463, -0.50789)",1.0,1.0,1
"(-0.14784, -1.3709)",-1.0,1.0,1
"(1.2189, 1.0366)",-1.0,-1.0,-1
"(0.85423, 1.1491)",-1.0,-1.0,-1
"(-0.34743, -0.5561)",1.0,1.0,1
"(-0.052904, -0.016777)",1.0,1.0,1
"(-1.4026, 0.9795)",-1.0,-1.0,-1
"(0.17083, -0.50222)",1.0,-1.0,1
"(-1.314, -0.22907)",1.0,-1.0,-1
"(-1.389, -0.45077)",1.0,-1.0,1
"(0.80178, 0.85218)",-1.0,1.0,-1
"(-0.71046, 0.46542)",1.0,-1.0,1
"(-0.0081592, -1.3772)",-1.0,-1.0,1
"(-0.83496, -1.0354)",-1.0,1.0,1
"(-1.5349, -0.46635)",1.0,-1.0,1
"(-0.97332, -0.126)",1.0,1.0,1
"(0.13388, -1.1781)",-1.0,-1.0,1
"(0.25197, -0.38902)",1.0,-1.0,1
"(1.0937, 0.61377)",-1.0,-1.0,-1
"(-0.58703, 1.0105)",-1.0,-1.0,1
"(-1.2068, 1.2679)",-1.0,-1.0,1
"(-0.49447, -0.71938)",-1.0,1.0,1
"(1.224, 0.54098)",-1.0,-1.0,-1
"(-0.10795, -1.302)",-1.0,1.0,1
"(0.1011, -1.387)",-1.0,1.0,1
"(-0.26968, -1.2835)",-1.0,-1.0,1
"(0.080284, -1.148)",-1.0,1.0,1
"(-1.2589, -0.91157)",-1.0,-1.0,1
"(0.70395, -0.90577)",1.0,-1.0,1
"(-0.7168, -1.0265)",-1.0,-1.0,1
"(0.79319, 0.83619)",-1.0,1.0,-1
"(-1.8895, -1.1638)",1.0,1.0,1
"(-0.081445, 2.1771)",1.0,1.0,-1
"(1.7286, 1.2612)",1.0,1.0,1
"(-0.091101, -0.084414)",1.0,-1.0,1
"(-1.9049, -1.3158)",1.0,1.0,1
"(-1.8487, -0.34749)",1.0,1.0,1
"(1.0165, 0.054055)",-1.0,-1.0,-1
"(1.2264, 0.35388)",-1.0,-1.0,-1
"(-1.6012, 0.68223)",-1.0,-1.0,-1
"(0.14176, -0.69801)",1.0,-1.0,1
"(0.54579, -0.19549)",1.0,-1.0,1
"(-0.61132, -1.2772)",-1.0,1.0,1
"(0.97373, 0.87743)",-1.0,-1.0,-1
"(-0.36419, -0.08278)",1.0,-1.0,1
"(-1.871, -0.45135)",1.0,1.0,1
"(-1.7368, 0.36665)",-1.0,-1.0,-1
"(-0.46836, -1.1696)",-1.0,-1.0,1
"(0.98093, 0.092062)",-1.0,-1.0,-1
"(-0.52189, 0.206)",1.0,1.0,1
"(-1.5203, -1.2274)",1.0,1.0,1
"(0.31104, 1.6773)",-1.0,-1.0,-1
"(1.954, -1.0242)",-1.0,-1.0,-1
"(-1.281, -0.54239)",1.0,1.0,1
"(-0.74844, -0.033999)",1.0,1.0,1
"(-0.19253, -0.28838)",1.0,-1.0,1
"(0.19457, -1.2742)",-1.0,-1.0,1
"(-0.99924, 1.1987)",-1.0,1.0,1
"(-0.23604, 1.4386)",-1.0,-1.0,-1
"(-1.4026, 0.24676)",1.0,1.0,-1
"(-1.0055, 0.41244)",1.0,-1.0,-1
"(-0.12533, 0.52098)",1.0,1.0,1
"(-0.012779, -1.2693)",-1.0,1.0,1
"(-0.4396, 0.29835)",1.0,1.0,1
"(1.2627, -0.25043)",-1.0,-1.0,-1
"(1.0391, -1.1311)",1.0,1.0,1
"(1.2967, 0.74928)",-1.0,-1.0,-1
"(-0.53687, -0.22329)",1.0,-1.0,1
"(-0.59544, 1.0909)",-1.0,-1.0,1
"(0.74439, 1.4188)",1.0,-1.0,-1
"(-1.0825, 0.35642)",1.0,1.0,-1
"(-1.7765, 0.81899)",-1.0,1.0,-1
"(-0.1118, -0.84108)",1.0,1.0,1
"(-0.72778, -0.7603)",1.0,-1.0,1
"(-0.57474, -1.6168)",-1.0,-1.0,1
"(-0.038111, -0.79058)",-1.0,-1.0,1
"(-0.98383, -0.80692)",-1.0,1.0,1
"(1.7014, 0.15712)",-1.0,-1.0,-1
"(0.33522, 1.9903)",-1.0,1.0,-1
"(-1.4129, 1.1449)",-1.0,-1.0,1
"(1.2232, -0.15854)",-1.0,-1.0,-1
"(1.4583, -1.6146)",1.0,1.0,1
"(-0.26854, 0.96091)",1.0,-1.0,1
"(0.20722, -1.3811)",-1.0,-1.0,1
"(-1.321, -0.4027)",1.0,1.0,1
"(0.13334, -0.22739)",1.0,1.0,1
"(-0.09868, 0.96598)",1.0,-1.0,-1
"(-1.5333, 1.205)",-1.0,-1.0,-1
"(2.3196, 1.2963)",1.0,1.0,1
"(0.56919, -0.85814)",-1.0,1.0,1
"(0.72433, 0.70575)",-1.0,1.0,-1
"(-1.3045, -1.166)",1.0,1.0,1
"(-1.7783, -1.5839)",1.0,-1.0,1
"(1.6972, -0.48919)",-1.0,-1.0,-1
"(0.81872, 0.54567)",-1.0,-1.0,-1
"(0.54692, 1.1495)",-1.0,1.0,-1
"(0.83289, -0.056471)",1.0,1.0,-1
"(0.43484, 0.39703)",1.0,-1.0,-1
"(0.018163, 1.6764)",-1.0,-1.0,-1
"(1.2823, -0.23584)",-1.0,-1.0,-1
"(0.28697, -1.4476)",-1.0,-1.0,1
"(-0.23186, 0.62573)",1.0,-1.0,1
"(-0.80128, 1.78)",-1.0,1.0,1
"(0.59458, 0.67703)",-1.0,-1.0,-1
"(-0.46619, -0.85071)",-1.0,1.0,1
"(-1.0051, -1.2855)",-1.0,-1.0,1
"(-1.1967, -1.0424)",-1.0,1.0,1
"(0.20047, -0.60896)",1.0,-1.0,1
"(-0.83598, -1.3566)",-1.0,-1.0,1
"(1.1794, 0.58503)",-1.0,-1.0,-1
"(1.14, -0.93843)",1.0,1.0,1
"(-1.1676, 0.22161)",1.0,-1.0,-1
"(1.4428, -1.5248)",1.0,1.0,1
"(-1.7247, -0.41044)",1.0,-1.0,1
"(0.50118, 0.055263)",1.0,1.0,-1
"(1.1027, 0.25324)",-1.0,-1.0,-1
"(-1.2857, -0.75447)",1.0,1.0,1
"(-1.9394, 0.59816)",-1.0,-1.0,-1
"(0.36906, 0.49003)",1.0,1.0,-1
"(-0.28544, -1.1008)",-1.0,1.0,1
"(-1.3842, -0.14863)",1.0,1.0,-1
"(0.0090242, -0.43383)",1.0,1.0,1
"(-0.78352, -1.0457)",-1.0,-1.0,1
"(1.4694, -0.31233)",1.0,1.0,-1
"(0.92519, 0.89528)",-1.0,1.0,-1
"(0.82253, -1.2052)",-1.0,-1.0,1
"(0.72013, 0.67745)",-1.0,-1.0,-1
"(-0.5355, 1.1943)",-1.0,-1.0,1
"(-1.0398, 1.1924)",-1.0,1.0,1
"(-0.63684, 0.94219)",1.0,1.0,1
"(-1.8113, -1.2112)",1.0,-1.0,1
"(-0.30035, -1.0363)",-1.0,-1.0,1
"(-0.28696, -0.72595)",1.0,-1.0,1
"(-0.78305, -1.3328)",-1.0,-1.0,1
"(0.3874, -0.79824)",-1.0,-1.0,1
"(-0.51568, -0.9195)",1.0,1.0,1
"(-1.4459, -1.2227)",1.0,1.0,1
"(1.3136, 1.0686)",-1.0,-1.0,-1
"(0.058362, -0.63752)",1.0,-1.0,1
"(-0.94183, -1.1518)",-1.0,1.0,1
"(0.033552, 0.32274)",1.0,-1.0,1
"(0.95592, 0.55831)",1.0,1.0,-1
"(0.9414, 1.4587)",-1.0,-1.0,-1
"(-1.6021, 0.78818)",-1.0,-1.0,-1
"(-0.13658, 1.4359)",-1.0,-1.0,-1
"(0.19854, -0.86046)",-1.0,1.0,1
"(0.79926, -0.98969)",1.0,-1.0,1
"(0.36823, -0.85575)",-1.0,-1.0,1
"(1.3787, 0.1313)",-1.0,-1.0,-1
"(0.61332, -0.21078)",1.0,1.0,1
"(0.58741, 0.03312)",1.0,-1.0,-1
"(-0.45114, 1.7167)",-1.0,-1.0,1
"(0.75688, -0.20816)",1.0,-1.0,1
"(-1.0372, 0.93675)",-1.0,1.0,1
"(0.058631, -0.13329)",1.0,1.0,1
"(0.82874, 1.5586)",-1.0,-1.0,-1
"(-0.07085, 0.43863)",1.0,-1.0,1
"(0.51665, 1.4623)",-1.0,1.0,-1
"(-1.6322, 0.72781)",-1.0,-1.0,-1
"(1.2267, -0.49321)",-1.0,-1.0,1
"(0.41689, 0.34841)",1.0,-1.0,-1
"(-0.23286, 0.59308)",1.0,1.0,1
"(1.1152, -0.44716)",1.0,1.0,1
"(0.40488, -0.55507)",1.0,-1.0,1
"(0.1675, -0.79262)",1.0,-1.0,1
"(-1.3015, -0.81135)",1.0,1.0,1
"(-0.79471, 0.27633)",1.0,1.0,1
"(1.0746, 0.44091)",-1.0,-1.0,-1
"(1.9253, 1.3409)",1.0,1.0,1
"(-2.0502, -1.9266)",1.0,-1.0,-1
"(0.31659, -1.1335)",-1.0,1.0,1
"(1.365, -1.5233)",1.0,1.0,1
"(-0.20649, -0.47398)",1.0,-1.0,1
"(-1.0619, -0.54866)",1.0,1.0,1
"(-2.1093, 0.19264)",-1.0,-1.0,-1
"(1.2679, -0.19444)",-1.0,-1.0,-1
"(-2.3212, 0.086109)",-1.0,1.0,1
"(0.25382, -0.86215)",-1.0,-1.0,1
"(-0.61408, -1.4253)",-1.0,1.0,1
"(1.1594, 0.77629)",-1.0,-1.0,-1
"(1.5015, 0.54054)",-1.0,-1.0,-1
"(-0.85944, 1.2561)",-1.0,1.0,1
"(-0.56311, -0.16363)",1.0,1.0,1
"(1.3472, -0.25001)",-1.0,-1.0,-1
"(-0.68787, 0.70916)",1.0,1.0,1
"(-0.64001, -0.23773)",1.0,-1.0,1
"(0.67967, 0.70244)",-1.0,1.0,-1
"(0.028519, 1.7215)",1.0,1.0,-1
"(0.38347, -0.82356)",1.0,-1.0,1
"(0.9075, 0.12728)",-1.0,1.0,-1
"(0.43225, 0.74917)",-1.0,1.0,-1
"(-0.71894, 0.24208)",1.0,1.0,1
"(0.64042, 1.3521)",-1.0,-1.0,-1
"(0.81581, -0.13298)",1.0,-1.0,-1
"(-1.4528, -1.2508)",1.0,1.0,1
"(-1.4594, -0.10807)",1.0,-1.0,-1
"(0.57639, -0.66511)",1.0,-1.0,1
"(-0.076492, -1.1186)",-1.0,1.0,1
"(0.31021, 0.56986)",1.0,-1.0,-1
"(0.47812, 1.3091)",1.0,-1.0,-1
"(-0.8562, -0.23466)",1.0,-1.0,1
"(1.8792, 0.11576)",-1.0,-1.0,-1
"(-1.137, 1.1614)",-1.0,-1.0,1
"(-1.3393, 0.82415)",-1.0,1.0,-1
"(-1.5577, -0.32858)",1.0,-1.0,1
"(-0.53239, -1.169)",-1.0,-1.0,1
"(-0.42182, -0.24075)",1.0,-1.0,1
"(2.1779, 1.2094)",1.0,1.0,1
"(1.3988, 0.4304)",-1.0,-1.0,-1
"(0.48824, 1.3132)",-1.0,1.0,-1
"(-0.77937, -1.0398)",-1.0,1.0,1
"(2.341, 1.1631)",1.0,1.0,1
"(2.6029, 0.95076)",1.0,1.0,1
"(-0.91419, 0.31667)",1.0,-1.0,-1
"(0.17977, -0.062734)",1.0,1.0,1
"(0.3694, 1.6933)",-1.0,1.0,-1
"(0.55285, -0.15932)",1.0,1.0,1
"(2.2929, 1.3169)",1.0,1.0,1
"(-0.067359, 1.8518)",-1.0,-1.0,-1
"(-0.81718, -1.1857)",-1.0,-1.0,1
"(-0.48947, -1.1343)",-1.0,-1.0,1
"(1.1275, -0.011599)",-1.0,-1.0,-1
"(0.48275, -1.2297)",-1.0,1.0,1
"(-0.077284, -1.2189)",-1.0,-1.0,1
"(0.59423, 1.8035)",-1.0,-1.0,-1
"(0.27501, -0.20205)",1.0,1.0,1
"(-0.54233, -0.73936)",-1.0,1.0,1
"(-1.6982, 0.87174)",-1.0,-1.0,-1
"(0.81988, 1.835)",-1.0,1.0,-1
"(0.6164, -1.0708)",1.0,-1.0,1
"(-0.49628, 1.0288)",-1.0,1.0,1
"(0.38163, 0.17482)",1.0,1.0,-1
"(-0.41811, -1.2567)",-1.0,1.0,1
"(0.34424, 0.90756)",-1.0,1.0,-1
"(1.8754, -0.28947)",-1.0,-1.0,-1
"(-0.77994, -1.3685)",-1.0,1.0,1
"(-0.63996, 0.70547)",1.0,1.0,1
"(-0.36899, -1.1416)",-1.0,-1.0,1
"(-0.67878, -0.095703)",1.0,1.0,1
"(1.2272, -0.14605)",1.0,1.0,-1
"(-1.634, 0.27935)",1.0,1.0,-1
"(-1.2055, -0.39228)",1.0,-1.0,1
"(-1.5232, 0.49714)",-1.0,-1.0,-1
"(0.43072, 1.6384)",1.0,-1.0,-1
"(1.7415, 0.96371)",1.0,1.0,1
"(0.76269, 0.92079)",-1.0,1.0,-1
"(-0.034075, -1.0668)",-1.0,-1.0,1
"(-0.55302, -0.68704)",1.0,-1.0,1
"(-0.44344, 1.8565)",-1.0,-1.0,1
"(-0.32547, 0.3881)",1.0,1.0,1
"(-0.22301, -1.2827)",-1.0,1.0,1
"(-0.90328, 0.10095)",1.0,1.0,1
"(1.7508, 1.3328)",1.0,1.0,1
"(1.0125, -0.20481)",1.0,1.0,-1
"(-0.48672, -0.79742)",-1.0,-1.0,1
"(-1.3536, -0.5701)",1.0,1.0,1
"(-0.046832, -0.33161)",1.0,-1.0,1
"(-0.8555, -1.3284)",-1.0,1.0,1
"(-0.91151, -0.48358)",1.0,-1.0,1
"(0.65099, 0.74423)",-1.0,1.0,-1
"(0.3182, 1.3952)",-1.0,-1.0,-1
"(1.5202, 0.40935)",-1.0,-1.0,-1
"(0.33926, 0.88073)",-1.0,-1.0,-1
"(0.63949, 1.1967)",-1.0,1.0,-1
"(-0.17113, 1.6797)",1.0,1.0,-1
"(-1.9524, -0.89978)",1.0,1.0,1
"(0.18375, 1.6995)",1.0,1.0,-1
"(1.2388, 0.82771)",-1.0,-1.0,-1
"(-0.77176, -1.3783)",-1.0,-1.0,1
"(0.5176, 1.4064)",-1.0,1.0,-1
"(-0.040645, 2.0917)",-1.0,1.0,-1
"(-0.62087, 1.1645)",-1.0,-1.0,1
"(1.263, 0.090349)",-1.0,-1.0,-1
"(-0.2234, 1.0408)",-1.0,-1.0,-1
"(-0.0017046, 0.28199)",1.0,1.0,1
"(-1.6376, -1.9116)",1.0,-1.0,-1
"(1.0343, 0.80539)",-1.0,-1.0,-1
"(0.28079, -0.39982)",1.0,1.0,1
"(-1.3155, -0.088026)",1.0,1.0,-1
"(-0.30106, 1.8196)",1.0,-1.0,-1
"(1.2165, -1.4589)",1.0,1.0,1
"(-0.23442, -0.65611)",1.0,-1.0,1
"(1.2447, 1.4536)",1.0,1.0,1
"(-0.17739, -1.453)",-1.0,-1.0,1
"(-1.3734, -0.12343)",1.0,1.0,-1
"(-0.23614, -1.5449)",-1.0,1.0,1
"(-2.1119, -1.4535)",1.0,-1.0,1
"(0.74634, 0.4407)",-1.0,1.0,-1
"(-0.87695, 0.26339)",1.0,1.0,1
"(-0.78372, 0.96865)",-1.0,1.0,1
"(-0.62829, 0.6013)",1.0,1.0,1
"(-1.5289, 0.67891)",-1.0,-1.0,-1
"(-0.49157, 0.12411)",1.0,1.0,1
"(-1.0468, 0.96622)",-1.0,1.0,1
"(0.93908, 1.6885)",1.0,1.0,-1
"(-1.5753, -1.2569)",1.0,-1.0,1
"(0.17747, -1.3731)",-1.0,-1.0,1
"(-0.022746, 0.16322)",1.0,1.0,1
"(-0.65811, 0.55448)",1.0,-1.0,1
"(0.43926, -1.0907)",-1.0,-1.0,1
"(1.4249, -0.20821)",1.0,1.0,-1
"(-0.25482, 0.38662)",1.0,1.0,1
"(1.988, 1.1805)",1.0,1.0,1
"(2.4837, 1.2059)",1.0,1.0,1
"(0.43264, 0.38031)",1.0,1.0,-1
"(1.0528, -0.22969)",-1.0,-1.0,-1
"(0.94499, 0.30946)",-1.0,-1.0,-1
"(0.36694, -0.45114)",1.0,-1.0,1
"(1.7764, 0.27178)",-1.0,-1.0,-1
"(0.47946, 1.4766)",-1.0,1.0,-1
"(0.30134, -0.92802)",-1.0,-1.0,1
"(-0.069891, -1.2021)",-1.0,-1.0,1
"(-0.7325, -1.338)",-1.0,1.0,1
"(-0.80307, -1.2104)",-1.0,-1.0,1
"(-1.5281, 0.025051)",1.0,-1.0,-1
"(-0.65068, -0.15867)",1.0,-1.0,1
"(-0.18928, -1.2367)",-1.0,1.0,1
"(-1.6439, -0.96206)",1.0,-1.0,1
"(1.3467, 0.22906)",-1.0,-1.0,-1
"(0.17651, -1.0714)",-1.0,-1.0,1
"(0.94677, -0.88767)",1.0,1.0,1
"(-0.31766, 0.31722)",1.0,1.0,1
"(-0.73657, -0.61672)",-1.0,1.0,1
"(-0.49032, -1.4531)",-1.0,1.0,1
"(-0.041826, -1.0249)",-1.0,1.0,1
"(0.34685, -0.24188)",1.0,1.0,1
"(1.4041, 0.37726)",-1.0,-1.0,-1
"(1.4579, -0.91017)",1.0,1.0,1
"(-0.87819, -1.1614)",-1.0,-1.0,1
"(-1.6578, -0.73468)",1.0,1.0,1
"(-1.7138, -1.2699)",1.0,1.0,1
"(-1.4864, 0.74382)",-1.0,1.0,-1
"(0.054502, -1.3154)",-1.0,1.0,1
"(0.13596, -1.4876)",-1.0,-1.0,1
"(-1.246, 0.85695)",-1.0,-1.0,-1
